SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-25-2023,Single Family Residential,8104 Maple Ridge Rd,Bethesda,MD,20814,1200000,4,3.5,BATTERY PARK,2800,4947,1936,,429,,Sold,,,https://www.redfin.com/MD/Bethesda/8104-Maple-Ridge-Rd-20814/home/10638478,BRIGHT MLS,MDMC2100672,N,Y,38.9918375,-77.1067385
PAST SALE,July-18-2023,Single Family Residential,103 N Brook Ln,Bethesda,MD,20814,1170000,3,3,GLENBROOK KNOLLS,1452,5200,1940,,806,,Sold,,,https://www.redfin.com/MD/Bethesda/103-N-Brook-Ln-20814/home/10647143,BRIGHT MLS,MDMC2096030,N,Y,38.9914706,-77.1045357
PAST SALE,July-14-2023,Single Family Residential,6808 Carlynn Ct,Bethesda,MD,20817,1350000,5,4,CONG COUNTRY CLUB EST,3196,14981,1977,,422,,Sold,,,https://www.redfin.com/MD/Bethesda/6808-Carlynn-Ct-20817/home/10686474,BRIGHT MLS,MDMC2092362,N,Y,38.9772436,-77.1735221
PAST SALE,June-20-2023,Townhouse,4977 Battery Ln Unit 1-807,Bethesda,MD,20814,224000,1,1,WHITEHALL CODM,817,,1963,,274,775,Sold,,,https://www.redfin.com/MD/Bethesda/4977-Battery-Ln-20814/unit-1-807/home/10695167,BRIGHT MLS,MDMC2090446,N,Y,38.993067,-77.102193
PAST SALE,May-26-2023,Single Family Residential,4903 Jamestown Rd,Bethesda,MD,20816,1315000,3,3.5,YORKTOWN VILLAGE,2550,5886,1941,,516,,Sold,,,https://www.redfin.com/MD/Bethesda/4903-Jamestown-Rd-20816/home/10675324,BRIGHT MLS,MDMC2088722,N,Y,38.9530296,-77.0996916
PAST SALE,September-26-2023,Single Family Residential,4803 Scarsdale Rd,Bethesda,MD,20816,2150000,5,4.5,SUMNER,4093,10746,1959,,525,,Sold,,,https://www.redfin.com/MD/Bethesda/4803-Scarsdale-Rd-20816/home/10666715,BRIGHT MLS,MDMC2105966,N,Y,38.9527611,-77.115302
PAST SALE,June-30-2023,Single Family Residential,5116 Wickett Ter,Bethesda,MD,20814,949000,4,3,MAPLEWOOD ESTATES,2130,7100,1958,,446,,Sold,,,https://www.redfin.com/MD/Bethesda/5116-Wickett-Ter-20814/home/10672320,BRIGHT MLS,MDMC2093724,N,Y,39.0107865,-77.1030971
PAST SALE,June-16-2023,Single Family Residential,10001 Carter Rd,Bethesda,MD,20817,1375000,7,4,ASHLEIGH,4744,30185,1965,,290,,Sold,,,https://www.redfin.com/MD/Bethesda/10001-Carter-Rd-20817/home/10888107,BRIGHT MLS,MDMC2090586,N,Y,39.0203375,-77.1553918
PAST SALE,June-9-2023,Single Family Residential,5511 Thornbush Ct,Bethesda,MD,20814,1250000,4,4.5,GROSVENOR WOODS,3645,5035,1993,,343,170,Sold,,,https://www.redfin.com/MD/Bethesda/5511-Thornbush-Ct-20814/home/10698018,BRIGHT MLS,MDMC2088696,N,Y,39.0233144,-77.1093834
PAST SALE,October-20-2023,Single Family Residential,5818 Greentree Rd,Bethesda,MD,20817,853000,3,2.5,BRADMOOR,1644,6587,1959,,519,,Sold,,,https://www.redfin.com/MD/Bethesda/5818-Greentree-Rd-20817/home/10662363,BRIGHT MLS,MDMC2108100,N,Y,39.0010058,-77.1181114
PAST SALE,September-29-2023,Single Family Residential,5807 Greenlawn Dr,Bethesda,MD,20814,1110000,4,3.5,NORTH BETHESDA,2390,10111,1960,,464,,Sold,,,https://www.redfin.com/MD/Bethesda/5807-Greenlawn-Dr-20814/home/10677066,BRIGHT MLS,MDMC2106358,N,Y,39.0213076,-77.1165452
PAST SALE,July-6-2023,Single Family Residential,7129 Helmsdale Rd,Bethesda,MD,20817,1650000,6,4.5,BANNOCKBURN ESTATES,6144,23178,1964,,269,,Sold,,,https://www.redfin.com/MD/Bethesda/7129-Helmsdale-Rd-20817/home/10679029,BRIGHT MLS,MDMC2093864,N,Y,38.9817217,-77.1518193
PAST SALE,June-29-2023,Single Family Residential,7 Springer Ct,Bethesda,MD,20817,2380000,4,4.5,WEST BETHESDA PARK,5393,11703,1981,,441,,Sold,,,https://www.redfin.com/MD/Bethesda/7-Springer-Ct-20817/home/10688193,BRIGHT MLS,MDMC2092482,N,Y,38.9882291,-77.1325396
PAST SALE,October-18-2023,Single Family Residential,8610 Lancaster Dr,Bethesda,MD,20814,1400000,4,3.5,GLENBROOK VILLAGE,2736,5901,2012,,512,,Sold,,,https://www.redfin.com/MD/Bethesda/8610-Lancaster-Dr-20814/home/10647848,BRIGHT MLS,MDMC2105908,N,Y,38.9974905,-77.0886879
PAST SALE,June-2-2023,Single Family Residential,5206 Glenwood Rd,Bethesda,MD,20814,1500000,3,3.5,GLENWOOD,2776,5750,1942,,540,,Sold,,,https://www.redfin.com/MD/Bethesda/5206-Glenwood-Rd-20814/home/10657689,BRIGHT MLS,MDMC2090556,N,Y,38.9936861,-77.1064238
PAST SALE,June-1-2023,Single Family Residential,4407 Gladwyne Dr,Bethesda,MD,20814,918000,3,3,GLENBROOK VILLAGE,1560,5606,1940,,588,,Sold,,,https://www.redfin.com/MD/Bethesda/4407-Gladwyne-Dr-20814/home/10647841,BRIGHT MLS,MDMC2086156,N,Y,38.9968469,-77.0888453
PAST SALE,October-16-2023,Single Family Residential,4312 Rosedale Ave,Bethesda,MD,20814,2399000,5,4.5,COLUMBIA FOREST,4768,7646,2023,,503,,Sold,,,https://www.redfin.com/MD/Bethesda/4312-Rosedale-Ave-20814/home/10662974,BRIGHT MLS,MDMC2085984,N,Y,38.9923659,-77.0856979
PAST SALE,October-6-2023,Single Family Residential,5613 Alta Vista Rd,Bethesda,MD,20817,1295000,5,3.5,ALTA VISTA,3600,6001,1962,,360,,Sold,,,https://www.redfin.com/MD/Bethesda/5613-Alta-Vista-Rd-20817/home/10656247,BRIGHT MLS,MDMC2105764,N,Y,39.0063439,-77.1135264
PAST SALE,June-23-2023,Single Family Residential,5519 Westbard Ave,Bethesda,MD,20816,1410000,4,3.5,WESTWOOD,3690,9530,1973,,382,,Sold,,,https://www.redfin.com/MD/Bethesda/5519-Westbard-Ave-20816/home/10675103,BRIGHT MLS,MDMC2084832,N,Y,38.9675038,-77.1085366
PAST SALE,June-15-2023,Single Family Residential,4701 Broad Brook Dr,Bethesda,MD,20814,950000,4,4.5,LOCUST HILL ESTATES,2496,17600,1944,,381,,Sold,,,https://www.redfin.com/MD/Bethesda/4701-Broad-Brook-Dr-20814/home/10664401,BRIGHT MLS,MDMC2093514,N,Y,39.0112617,-77.0941056
PAST SALE,June-9-2023,Single Family Residential,5506 Trent St,Chevy Chase,MD,20815,3333000,5,5.5,SOMERSET HEIGHTS,5488,8383,2023,,607,,Sold,,,https://www.redfin.com/MD/Chevy-Chase/5506-Trent-St-20815/home/10653437,BRIGHT MLS,MDMC2089286,N,Y,38.964291,-77.0977472
PAST SALE,June-12-2023,Single Family Residential,7423 Hampden Ln,Bethesda,MD,20814,4750000,5,5,EDGEMOOR,6600,12816,2011,,720,,Sold,,,https://www.redfin.com/MD/Bethesda/7423-Hampden-Ln-20814/home/10645734,BRIGHT MLS,MDMC2088512,N,Y,38.9837411,-77.108177
